Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,0
Sunday,9 AM,"12,359"
Sunday,10 AM,"9,673"
Sunday,11 AM,73
Sunday,12 PM,45
Sunday,1 PM,835
Sunday,2 PM,537
Sunday,3 PM,7
Sunday,4 PM,4
Sunday,5 PM,3
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,"10,382"
Monday,10 AM,"5,342"
Monday,11 AM,"3,446"
Monday,12 PM,"1,750"
Monday,1 PM,664
Monday,2 PM,15
Monday,3 PM,16
Monday,4 PM,8
Monday,5 PM,0
Monday,6 PM,0
Monday,7 PM,0
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,0
Tuesday,1 AM,0
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,0
Tuesday,8 AM,0
Tuesday,9 AM,"11,025"
Tuesday,10 AM,"6,113"
Tuesday,11 AM,"4,820"
Tuesday,12 PM,103
Tuesday,1 PM,5
Tuesday,2 PM,1
Tuesday,3 PM,15
Tuesday,4 PM,5
Tuesday,5 PM,0
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,"10,687"
Wednesday,10 AM,"6,540"
Wednesday,11 AM,"7,452"
Wednesday,12 PM,63
Wednesday,1 PM,3
Wednesday,2 PM,11
Wednesday,3 PM,4
Wednesday,4 PM,0
Wednesday,5 PM,0
Wednesday,6 PM,0
Wednesday,7 PM,0
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,"13,442"
Thursday,10 AM,"4,790"
Thursday,11 AM,"1,530"
Thursday,12 PM,"3,349"
Thursday,1 PM,44
Thursday,2 PM,29
Thursday,3 PM,17
Thursday,4 PM,15
Thursday,5 PM,13
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,"14,834"
Friday,10 AM,"6,178"
Friday,11 AM,"4,242"
Friday,12 PM,144
Friday,1 PM,11
Friday,2 PM,2
Friday,3 PM,3
Friday,4 PM,12
Friday,5 PM,0
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,0
Saturday,12 AM,0
Saturday,1 AM,0
Saturday,2 AM,0
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,"12,615"
Saturday,10 AM,"6,037"
Saturday,11 AM,981
Saturday,12 PM,2
Saturday,1 PM,7
Saturday,2 PM,4
Saturday,3 PM,6
Saturday,4 PM,7
Saturday,5 PM,1
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
