Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,0
Sunday,9 AM,"1,565"
Sunday,10 AM,"1,503"
Sunday,11 AM,"1,787"
Sunday,12 PM,"1,537"
Sunday,1 PM,"1,282"
Sunday,2 PM,192
Sunday,3 PM,91
Sunday,4 PM,368
Sunday,5 PM,10
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,"2,561"
Monday,10 AM,"1,443"
Monday,11 AM,752
Monday,12 PM,648
Monday,1 PM,642
Monday,2 PM,525
Monday,3 PM,3
Monday,4 PM,5
Monday,5 PM,7
Monday,6 PM,0
Monday,7 PM,0
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,0
Tuesday,1 AM,0
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,0
Tuesday,8 AM,0
Tuesday,9 AM,"1,401"
Tuesday,10 AM,"1,343"
Tuesday,11 AM,"1,676"
Tuesday,12 PM,"2,129"
Tuesday,1 PM,566
Tuesday,2 PM,600
Tuesday,3 PM,409
Tuesday,4 PM,7
Tuesday,5 PM,4
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,"1,763"
Wednesday,10 AM,"1,579"
Wednesday,11 AM,"1,358"
Wednesday,12 PM,925
Wednesday,1 PM,307
Wednesday,2 PM,343
Wednesday,3 PM,12
Wednesday,4 PM,4
Wednesday,5 PM,2
Wednesday,6 PM,0
Wednesday,7 PM,0
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,"1,244"
Thursday,10 AM,"1,042"
Thursday,11 AM,718
Thursday,12 PM,"1,772"
Thursday,1 PM,"1,943"
Thursday,2 PM,"1,114"
Thursday,3 PM,"1,002"
Thursday,4 PM,491
Thursday,5 PM,114
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,"1,932"
Friday,10 AM,"1,545"
Friday,11 AM,"1,265"
Friday,12 PM,935
Friday,1 PM,611
Friday,2 PM,457
Friday,3 PM,321
Friday,4 PM,13
Friday,5 PM,276
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,0
Saturday,12 AM,0
Saturday,1 AM,0
Saturday,2 AM,0
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,"2,229"
Saturday,10 AM,"2,099"
Saturday,11 AM,"2,406"
Saturday,12 PM,"1,407"
Saturday,1 PM,"1,445"
Saturday,2 PM,"1,132"
Saturday,3 PM,"1,201"
Saturday,4 PM,434
Saturday,5 PM,194
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
